[CTRL] Starting...
[CTRL] Output dir: /home/diya/wildfire_sim/data_seed6/thermal_delay_50ms
[CTRL] TEMP_THRESHOLD=100.0  TIME_WINDOW=0.5s  (pair dt must be <= 0.5s AND <= 2000.0ms sync threshold)
[CTRL] Monitor: window=10.0s  stop_if_drop>50%
[MONITOR] up=590806s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590816s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590826s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590836s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590846s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590856s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590866s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590876s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590886s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590896s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590906s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590916s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590926s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590936s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590946s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590956s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590966s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590976s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590986s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590996s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591006s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591016s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591026s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591036s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591046s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591056s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591066s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591076s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591086s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591096s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591106s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591116s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591126s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591136s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591146s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591156s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591166s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591176s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591186s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591196s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591206s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591216s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591226s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591236s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591246s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591256s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591266s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591276s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591286s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591296s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591306s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591316s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591326s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591336s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591346s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591356s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591366s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591376s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591386s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591396s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591406s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591416s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591426s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591436s window=10s thermal=not_started imagery=not_started
